Dataset,#TrainingRelease,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,IBK,UNDERSAMPLING,NO,NO,128,18,136,20,0.8767123287671232,0.8648648648648649,0.8711170586170586,0.7481787062231194,
BOOKKEEPER,2,IBK,UNDERSAMPLING,NO,NO,180,11,181,92,0.9424083769633508,0.6617647058823529,0.8016620710784313,0.5691619789412953,
BOOKKEEPER,3,IBK,UNDERSAMPLING,NO,NO,411,80,117,10,0.8370672097759674,0.9762470308788599,0.7870070053172891,0.6296789485598625,
BOOKKEEPER,4,IBK,UNDERSAMPLING,NO,NO,369,8,113,100,0.9787798408488063,0.7867803837953091,0.86174205712876,0.56210398999409,
BOOKKEEPER,5,IBK,UNDERSAMPLING,NO,NO,401,80,117,20,0.8336798336798337,0.9524940617577197,0.7746482269674573,0.5945786373118859,
BOOKKEEPER,6,IBK,UNDERSAMPLING,NO,NO,388,0,0,268,1.0,0.5914634146341463,NaN,0.0,
BOOKKEEPER,1,RANDOM FOREST,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,0,0,154,148,NaN,0.0,0.5,0.0,
BOOKKEEPER,2,RANDOM FOREST,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,2,0,192,270,1.0,0.007352941176470588,0.5036764705882353,0.006092916984006017,
BOOKKEEPER,3,RANDOM FOREST,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,7,0,197,414,1.0,0.0166270783847981,0.5083135391923991,0.010664707474575623,
BOOKKEEPER,4,RANDOM FOREST,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,0,0,121,469,NaN,0.0,0.5,0.0,
BOOKKEEPER,5,RANDOM FOREST,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,2,0,197,419,1.0,0.004750593824228029,0.502375296912114,0.003033919839833687,
BOOKKEEPER,6,RANDOM FOREST,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,0,0,0,656,NaN,0.0,NaN,0.0,
BOOKKEEPER,1,NAIVE BAYES,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,1,3,151,147,0.25,0.006756756756756757,0.49363811863811863,-0.012969588550983778,
